parameter,sensitivity_score,analysis_method,category,output_variable,object_type,object_name,field_name,time_slice,p_value,significant,confidence_interval,suggested_range_multiplier
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_FrontPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,Zone Air System Sensible Heating Energy,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_FrontPerimeter_Wall_0_window,shading_setpoint,peak_months,0.05,False,"[0.0, 0.0]",11.0
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,Zone Air System Sensible Heating Energy,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window,shading_setpoint,peak_months,0.05,False,"[0.0, 0.0]",11.0
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_RearPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,Zone Air System Sensible Heating Energy,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_RearPerimeter_Wall_0_window,shading_setpoint,peak_months,0.05,False,"[0.0, 0.0]",11.0
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone2_FrontPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,Zone Air System Sensible Heating Energy,WINDOWSHADINGCONTROL,ShadingCtrl_Zone2_FrontPerimeter_Wall_0_window,shading_setpoint,peak_months,0.05,False,"[0.0, 0.0]",11.0
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone2_LeftPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,Zone Air System Sensible Heating Energy,WINDOWSHADINGCONTROL,ShadingCtrl_Zone2_LeftPerimeter_Wall_0_window,shading_setpoint,peak_months,0.05,False,"[0.0, 0.0]",11.0
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone2_RearPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,Zone Air System Sensible Heating Energy,WINDOWSHADINGCONTROL,ShadingCtrl_Zone2_RearPerimeter_Wall_0_window,shading_setpoint,peak_months,0.05,False,"[0.0, 0.0]",11.0
ventilation*DESIGNSPECIFICATION:OUTDOORAIR*DSOA_Global*outdoor_air_flow_per_person,10.0,modification,ventilation,Zone Air System Sensible Heating Energy,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Global,outdoor_air_flow_per_person,peak_months,0.05,False,"[0.0, 0.0]",11.0
ventilation*DESIGNSPECIFICATION:OUTDOORAIR*DSOA_Global*outdoor_air_flow_per_zone_area,10.0,modification,ventilation,Zone Air System Sensible Heating Energy,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Global,outdoor_air_flow_per_zone_area,peak_months,0.05,False,"[0.0, 0.0]",11.0
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_Wall_2_window*shading_setpoint,10.0,modification,shading,Zone Air System Sensible Heating Energy,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_Wall_2_window,shading_setpoint,peak_months,0.05,False,"[0.0, 0.0]",11.0
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_Wall_3_window*shading_setpoint,10.0,modification,shading,Zone Air System Sensible Heating Energy,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_Wall_3_window,shading_setpoint,peak_months,0.05,False,"[0.0, 0.0]",11.0
