parameter,sensitivity_score,analysis_method,category,p_value,time_slice,object_name,field_name
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_FrontPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,0.05,peak_months,ShadingCtrl_Zone1_FrontPerimeter_Wall_0_window,shading_setpoint
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,0.05,peak_months,ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window,shading_setpoint
ventilation*DESIGNSPECIFICATION:OUTDOORAIR*DSOA_Global*outdoor_air_flow_per_zone_area,10.0,modification,ventilation,0.05,peak_months,DSOA_Global,outdoor_air_flow_per_zone_area
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone2_RearPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,0.05,peak_months,ShadingCtrl_Zone2_RearPerimeter_Wall_0_window,shading_setpoint
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_RearPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,0.05,peak_months,ShadingCtrl_Zone1_RearPerimeter_Wall_0_window,shading_setpoint
ventilation*DESIGNSPECIFICATION:OUTDOORAIR*DSOA_Global*outdoor_air_flow_per_person,10.0,modification,ventilation,0.05,peak_months,DSOA_Global,outdoor_air_flow_per_person
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone2_LeftPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,0.05,peak_months,ShadingCtrl_Zone2_LeftPerimeter_Wall_0_window,shading_setpoint
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone2_FrontPerimeter_Wall_0_window*shading_setpoint,10.0,modification,shading,0.05,peak_months,ShadingCtrl_Zone2_FrontPerimeter_Wall_0_window,shading_setpoint
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_Wall_3_window*shading_setpoint,10.0,modification,shading,0.05,peak_months,ShadingCtrl_Zone1_Wall_3_window,shading_setpoint
shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_Wall_2_window*shading_setpoint,10.0,modification,shading,0.05,peak_months,ShadingCtrl_Zone1_Wall_2_window,shading_setpoint
